"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
="0050","元大台灣50","21","32","0","1,169","1,158","425,250","2","5","0","373","376","425,250","0","",
="0051","元大中型100","0","0","0","5","5","2,375","0","0","0","0","0","2,375","0","",
="0052","富邦科技","0","0","0","0","0","4,750","0","0","0","0","0","4,750","0","X",
="0053","元大電子","0","0","0","0","0","1,622","0","0","0","0","0","1,622","0","X",
="0054","元大台商50","0","0","0","0","0","2,656","0","0","0","0","0","2,656","0","X",
="0055","元大MSCI金融","0","1","0","3","2","9,413","0","0","0","0","0","9,413","0","",
="0056","元大高股息","158","32","0","1,324","1,450","218,883","1","6","0","173","178","218,883","0","",
="0057","富邦摩台","0","0","0","0","0","1,256","0","0","0","0","0","1,256","0","X",
="0058","富邦發達","0","0","0","0","0","1,049","0","0","0","0","0","1,049","0","X",
="0059","富邦金融","0","0","0","0","0","1,243","0","0","0","0","0","1,243","0","X",
="0061","元大寶滬深","0","7","0","1,227","1,220","84,154","0","0","0","1,007","1,007","84,154","0","",
="006203","元大MSCI台灣","0","0","0","0","0","2,554","0","0","0","0","0","2,554","0","X",
="006204","永豐臺灣加權","0","0","0","0","0","1,500","0","0","0","0","0","1,500","0","X",
="006205","富邦上証","4","21","0","696","679","85,934","0","1","0","37","38","85,934","0","",
="006206","元大上證50","31","2","0","346","375","32,569","0","0","0","24","24","32,569","0","",
="006207","FH滬深","0","0","0","91","91","24,223","0","0","0","84","84","24,223","0","",
="006208","富邦台50","1","0","0","26","27","8,385","0","0","0","0","0","8,385","0","",
="00631L","元大台灣50正2","68","579","0","2,557","2,046","6,271","0","26","0","1,577","1,603","6,271","6","",
="00632R","元大台灣50反1","5,628","2,409","34","175,617","178,802","1,436,912","21","1","0","14,521","14,501","1,436,912","4","",
="00633L","富邦上証正2","2,734","3,592","0","62,459","61,601","118,489","795","1,267","0","20,300","20,772","118,489","906","",
="00634R","富邦上証反1","136","226","0","10,513","10,423","30,939","0","1","0","50","51","30,939","0","",
="00635U","元大S&P黃金","57","25","1","2,385","2,416","13,503","0","0","0","40","40","13,503","0","",
="00636","國泰中國A50","47","9","0","1,591","1,629","96,546","1","0","0","248","247","96,546","1","",
="00637L","元大滬深300正2","8,789","28,307","52","282,306","262,736","482,151","1,056","4,130","43","52,293","55,324","482,151","2,481","",
="00638R","元大滬深300反1","404","676","0","7,010","6,738","14,612","0","3","0","3","6","14,612","25","",
="00639","富邦深100","163","92","0","2,613","2,684","61,350","0","2","0","19","21","61,350","1","",
="00640L","富邦日本正2","13","13","0","961","961","3,104","0","1","0","91","92","3,104","0","",
="00641R","富邦日本反1","3","0","0","1,662","1,665","5,314","0","0","0","0","0","5,314","0","",
="00642U","元大S&P石油","84","13","0","1,073","1,144","27,080","0","2","0","64","66","27,080","0","",
="00643","群益深証中小","14","172","0","4,285","4,127","64,272","10","30","0","452","472","64,272","0","",
="00645","富邦日本","0","0","0","1","1","4,499","0","0","0","0","0","4,499","0","",
="00646","元大S&P500","0","0","0","30","30","22,871","0","0","0","0","0","22,871","0","",
="00647L","元大S&P500正2","0","0","0","78","78","1,104","0","0","0","0","0","1,104","0","",
="00648R","元大S&P500反1","22","48","0","7,821","7,795","41,922","0","0","0","142","142","41,922","0","",
="00649","FH香港","0","0","0","2","2","1,318","0","0","0","0","0","1,318","0","",
="00650L","FH香港正2","1","6","0","66","61","1,084","0","0","0","7","7","1,084","0","",
="00651R","FH香港反1","110","31","0","2,301","2,380","5,048","0","0","0","0","0","5,048","0","",
="00652","富邦印度","0","4","0","30","26","3,133","0","0","0","0","0","3,133","0","",
="00653L","富邦印度正2","18","29","0","876","865","1,725","0","0","0","83","83","1,725","0","",
="00654R","富邦印度反1","8","30","0","820","798","1,991","1","0","0","1","0","1,991","0","",
="00655L","國泰中國A50正2","608","1,101","81","34,854","34,280","66,864","440","472","0","5,305","5,337","66,864","198","",
="00656R","國泰中國A50反1","43","5","0","3,534","3,572","6,839","0","0","0","2","2","6,839","0","",
="00657","國泰日經225","0","0","0","0","0","1,328","0","0","0","0","0","1,328","0","X",
="00658L","國泰日本正2","220","0","0","2","222","1,211","0","0","0","0","0","1,211","0","",
="00659R","國泰日本反1","14","0","0","400","414","3,520","0","0","0","0","0","3,520","0","",
="00660","元大歐洲50","0","0","0","0","0","1,632","0","0","0","0","0","1,632","0","X",
="00661","元大日經225","0","0","0","0","0","981","0","0","0","0","0","981","0","X",
="00662","富邦NASDAQ","0","0","0","15","15","8,757","0","0","0","0","0","8,757","0","",
="00663L","國泰臺灣加權正2","0","39","0","104","65","952","0","0","0","30","30","952","0","",
="00664R","國泰臺灣加權反1","443","14","0","5,114","5,543","46,893","1","0","0","21","20","46,893","0","",
="00665L","富邦恒生國企正2","62","13","0","977","1,026","3,991","0","5","0","28","33","3,991","0","",
="00666R","富邦恒生國企反1","1","0","0","0","1","2,031","0","0","0","0","0","2,031","0","",
="00668","國泰美國道瓊","0","0","0","27","27","8,907","0","0","0","9","9","8,907","0","",
="00669R","國泰美國道瓊反1","28","90","0","7,951","7,889","29,529","2","0","0","80","78","29,529","0","",
="00670L","富邦NASDAQ正2","39","27","0","652","664","3,161","0","0","0","379","379","3,161","0","",
="00671R","富邦NASDAQ反1","315","102","0","8,718","8,931","25,221","0","0","0","43","43","25,221","0","",
="00672L","元大S&P原油正2","3,054","3,997","0","47,701","46,758","115,671","120","625","0","6,848","7,353","115,671","99","",
="00673R","元大S&P原油反1","695","132","0","4,856","5,419","13,300","1","0","0","303","302","13,300","6","",
="00674R","元大S&P黃金反1","41","7","0","327","361","1,150","0","0","0","1","1","1,150","0","",
="00675L","富邦臺灣加權正2","7","281","0","346","72","1,821","0","0","0","51","51","1,821","0","",
="00676R","富邦臺灣加權反1","969","1,053","0","6,517","6,433","39,877","0","0","0","2","2","39,877","0","",
="00677U","富邦VIX","9,380","8,942","0","598,736","599,174","999,927","128","2,792","101","148,464","151,027","999,927","121","",
="00678","群益NBI生技","1","0","0","196","197","2,487","0","0","0","0","0","2,487","0","",
="00680L","元大美債20正2","6","30","0","91","67","1,019","0","0","0","9","9","1,019","0","",
="00681R","元大美債20反1","0","0","0","0","0","1,523","0","0","0","0","0","1,523","0","X",
="00682U","元大美元指數","0","0","0","0","0","1,036","0","0","0","0","0","1,036","0","X",
="00683L","元大美元指數正2","2","0","0","20","22","1,733","0","0","0","0","0","1,733","0","",
="00684R","元大美元指數反1","0","0","0","60","60","797","0","0","0","0","0","797","0","",
